PID,POS,X,Y,block
34,11,-129.315948486328,53.2723994163446,34
34,12,-129.312171936035,53.2709622159585,34
34,13,-129.309425354004,53.27404187191,34
34,14,-129.314575195312,53.2742471744186,34
34,15,-129.314575195312,53.2773265937279,34
34,16,-129.307022094727,53.2773265937279,34
34,17,-129.307022094727,53.2820479391329,34
34,18,-129.314231872559,53.2816374080634,34
34,19,-129.325904846191,53.2763001452746,34
34,20,-129.322814941406,53.2828689894407,34
34,21,-129.325904846191,53.2847162949572,34
34,22,-129.326248168945,53.286358277264,34
34,23,-129.331398010254,53.2838952801423,34
34,24,-129.342727661133,53.2828689894407,34
34,25,-129.34684753418,53.2847162949572,34
34,26,-129.353713989258,53.2851267964493,34
34,27,-129.366416931152,53.2843057895216,34
34,28,-129.367790222168,53.2861530329262,34
34,29,-129.368476867676,53.2990815008548,34
34,30,-129.358177185059,53.3011332788075,34
34,31,-129.35302734375,53.3033901207035,34
34,32,-129.342384338379,53.3007229311029,34
34,33,-129.334487915039,53.3029797946848,34
34,34,-129.333801269531,53.3052365389954,34
34,35,-129.27921295166,53.3052365389954,34
34,36,-129.276809692383,53.2999022238648,34
34,37,-129.270286560059,53.2980555749128,34
34,38,-129.270973205566,53.2929255755359,34
34,39,-129.267883300781,53.2875897225868,34
34,40,-129.266510009766,53.2804057911925,34
34,41,-129.260330200195,53.2760948526259,34
34,42,-129.262733459473,53.2713728495705,34
34,43,-129.257926940918,53.2682930013412,34
34,44,-129.263763427734,53.2639808410847,34
34,45,-129.272003173828,53.2592574999252,34
34,46,-129.279556274414,53.2535066413485,34
34,47,-129.284706115723,53.2485767185975,34
34,48,-129.288482666016,53.2461115441895,34
34,49,-129.289855957031,53.242824424048,34
34,50,-129.296379089355,53.2411807692903,34
34,51,-129.300155639648,53.2372768362409,34
34,52,-129.302558898926,53.2339890374858,34
34,53,-129.305648803711,53.2344000261399,34
34,54,-129.305305480957,53.2387151687918,34
34,55,-129.314231872559,53.2329615485883,34
34,56,-129.364700317383,53.2325505461242,34
34,57,-129.364700317383,53.2325505461242,34
34,58,-129.35302734375,53.2395370514064,34
34,59,-129.35302734375,53.2424135162766,34
34,60,-129.34513092041,53.2465224164537,34
34,61,-129.346160888672,53.2553552159249,34
34,62,-129.341011047363,53.2598736174868,34
34,63,-129.338264465332,53.2633647826913,34
34,64,-129.329681396484,53.2670609999276,34
